Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-07-27,0,East landscaping,0.0,0.0,0.0,86.3,56.3,57.9
2026-07-27,1,West landscaping,0.0,0.0,0.0,86.3,56.3,57.9
2026-07-27,2,Farm: greenhouse,40.0,16.0,0.0,86.3,56.3,57.9
2026-07-27,3,Farm: outdoor,40.0,10.0,0.0,86.3,56.3,57.9
2026-07-28,0,East landscaping,30.0,15.0,0.08,84.8,60.5,61.2
2026-07-28,1,West landscaping,30.0,6.0,0.08,84.8,60.5,61.2
2026-07-28,2,Farm: greenhouse,40.0,16.0,0.08,84.8,60.5,61.2
2026-07-28,3,Farm: outdoor,40.0,10.0,0.08,84.8,60.5,61.2
2026-07-29,0,East landscaping,0.0,0.0,0.0,87.0,57.8,59.0
2026-07-29,1,West landscaping,0.0,0.0,0.0,87.0,57.8,59.0
2026-07-29,2,Farm: greenhouse,40.0,16.0,0.0,87.0,57.8,59.0
2026-07-29,3,Farm: outdoor,40.0,10.0,0.0,87.0,57.8,59.0
2026-07-30,0,East landscaping,30.0,15.0,0.0,87.1,56.8,59.3
2026-07-30,1,West landscaping,30.0,6.0,0.0,87.1,56.8,59.3
2026-07-30,2,Farm: greenhouse,40.0,16.0,0.0,87.1,56.8,59.3
2026-07-30,3,Farm: outdoor,40.0,10.0,0.0,87.1,56.8,59.3
2026-07-31,0,East landscaping,0.0,0.0,0.0,92.6,58.8,51.5
2026-07-31,1,West landscaping,0.0,0.0,0.0,92.6,58.8,51.5
2026-07-31,2,Farm: greenhouse,40.0,16.0,0.0,92.6,58.8,51.5
2026-07-31,3,Farm: outdoor,40.0,10.0,0.0,92.6,58.8,51.5
2026-08-01,0,East landscaping,30.0,15.0,0.04,93.6,59.9,42.0
2026-08-01,1,West landscaping,30.0,6.0,0.04,93.6,59.9,42.0
2026-08-01,2,Farm: greenhouse,40.0,16.0,0.04,93.6,59.9,42.0
2026-08-01,3,Farm: outdoor,40.0,10.0,0.04,93.6,59.9,42.0
2026-08-02,0,East landscaping,0.0,0.0,0.0,91.5,62.1,34.9
2026-08-02,1,West landscaping,0.0,0.0,0.0,91.5,62.1,34.9
2026-08-02,2,Farm: greenhouse,30.0,12.0,0.0,91.5,62.1,34.9
2026-08-02,3,Farm: outdoor,30.0,7.5,0.0,91.5,62.1,34.9
