Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-08-03,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,91.4,60.7,39.8
2026-08-03,3,Farm: outdoor,Apple,40.0,1.3,0.0,91.4,60.7,39.8
2026-08-03,3,Farm: outdoor,Beans,40.0,4.3,0.0,91.4,60.7,39.8
2026-08-03,3,Farm: outdoor,Corn,40.0,1.5,0.0,91.4,60.7,39.8
2026-08-03,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,91.4,60.7,39.8
2026-08-04,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,90.7,62.1,42.2
2026-08-04,3,Farm: outdoor,Apple,40.0,1.3,0.0,90.7,62.1,42.2
2026-08-04,3,Farm: outdoor,Beans,40.0,4.3,0.0,90.7,62.1,42.2
2026-08-04,3,Farm: outdoor,Corn,40.0,1.5,0.0,90.7,62.1,42.2
2026-08-04,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,90.7,62.1,42.2
2026-08-05,3,Farm: outdoor,Nectarine,40.0,1.3,0.01,89.2,58.8,55.0
2026-08-05,3,Farm: outdoor,Apple,40.0,1.3,0.01,89.2,58.8,55.0
2026-08-05,3,Farm: outdoor,Beans,40.0,4.3,0.01,89.2,58.8,55.0
2026-08-05,3,Farm: outdoor,Corn,40.0,1.5,0.01,89.2,58.8,55.0
2026-08-05,3,Farm: outdoor,Pumpkin,40.0,1.5,0.01,89.2,58.8,55.0
2026-08-06,3,Farm: outdoor,Nectarine,40.0,1.3,0.06,90.1,58.4,55.3
2026-08-06,3,Farm: outdoor,Apple,40.0,1.3,0.06,90.1,58.4,55.3
2026-08-06,3,Farm: outdoor,Beans,40.0,4.3,0.06,90.1,58.4,55.3
2026-08-06,3,Farm: outdoor,Corn,40.0,1.5,0.06,90.1,58.4,55.3
2026-08-06,3,Farm: outdoor,Pumpkin,40.0,1.5,0.06,90.1,58.4,55.3
2026-08-07,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,91.0,60.5,43.9
2026-08-07,3,Farm: outdoor,Apple,40.0,1.3,0.0,91.0,60.5,43.9
2026-08-07,3,Farm: outdoor,Beans,40.0,4.3,0.0,91.0,60.5,43.9
2026-08-07,3,Farm: outdoor,Corn,40.0,1.5,0.0,91.0,60.5,43.9
2026-08-07,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,91.0,60.5,43.9
2026-08-08,3,Farm: outdoor,Nectarine,40.0,1.3,0.01,92.0,55.8,44.0
2026-08-08,3,Farm: outdoor,Apple,40.0,1.3,0.01,92.0,55.8,44.0
2026-08-08,3,Farm: outdoor,Beans,40.0,4.3,0.01,92.0,55.8,44.0
2026-08-08,3,Farm: outdoor,Corn,40.0,1.5,0.01,92.0,55.8,44.0
2026-08-08,3,Farm: outdoor,Pumpkin,40.0,1.5,0.01,92.0,55.8,44.0
2026-08-09,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,90.5,57.5,40.6
2026-08-09,3,Farm: outdoor,Apple,40.0,1.3,0.0,90.5,57.5,40.6
2026-08-09,3,Farm: outdoor,Beans,40.0,4.3,0.0,90.5,57.5,40.6
2026-08-09,3,Farm: outdoor,Corn,40.0,1.5,0.0,90.5,57.5,40.6
2026-08-09,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,90.5,57.5,40.6
