Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-09-07,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,81.7,53.0,53.6
2026-09-07,3,Farm: outdoor,Apple,40.0,1.3,0.0,81.7,53.0,53.6
2026-09-07,3,Farm: outdoor,Pear,40.0,5.3,0.0,81.7,53.0,53.6
2026-09-07,3,Farm: outdoor,Beans,40.0,4.3,0.0,81.7,53.0,53.6
2026-09-07,3,Farm: outdoor,Corn,40.0,1.5,0.0,81.7,53.0,53.6
2026-09-07,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,81.7,53.0,53.6
