Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-09-21,0,East landscaping,0.0,0.0,0.0,75.2,47.1,50.5
2026-09-21,1,West landscaping,0.0,0.0,0.0,75.2,47.1,50.5
2026-09-21,2,Farm: greenhouse,40.0,16.0,0.0,75.2,47.1,50.5
2026-09-21,3,Farm: outdoor,40.0,15.3,0.0,75.2,47.1,50.5
2026-09-22,0,East landscaping,30.0,15.0,0.0,74.0,47.1,53.8
2026-09-22,1,West landscaping,30.0,6.0,0.0,74.0,47.1,53.8
2026-09-22,2,Farm: greenhouse,40.0,16.0,0.0,74.0,47.1,53.8
2026-09-22,3,Farm: outdoor,40.0,15.3,0.0,74.0,47.1,53.8
2026-09-23,0,East landscaping,0.0,0.0,0.24,73.9,46.0,71.5
2026-09-23,1,West landscaping,0.0,0.0,0.24,73.9,46.0,71.5
2026-09-23,2,Farm: greenhouse,40.0,16.0,0.24,73.9,46.0,71.5
2026-09-23,3,Farm: outdoor,40.0,15.3,0.24,73.9,46.0,71.5
