Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-08-17,0,East landscaping,0.0,0.0,0.0,89.3,52.1,45.5
2026-08-17,1,West landscaping,0.0,0.0,0.0,89.3,52.1,45.5
2026-08-17,2,Farm: greenhouse,0.0,0.0,0.0,89.3,52.1,45.5
2026-08-17,3,Farm: outdoor,0.0,0.0,0.0,89.3,52.1,45.5
2026-08-18,0,East landscaping,0.0,0.0,0.0,88.0,57.4,42.9
2026-08-18,1,West landscaping,0.0,0.0,0.0,88.0,57.4,42.9
2026-08-18,2,Farm: greenhouse,0.0,0.0,0.0,88.0,57.4,42.9
2026-08-18,3,Farm: outdoor,0.0,0.0,0.0,88.0,57.4,42.9
2026-08-19,0,East landscaping,0.0,0.0,0.01,87.0,59.5,53.5
2026-08-19,1,West landscaping,0.0,0.0,0.01,87.0,59.5,53.5
2026-08-19,2,Farm: greenhouse,0.0,0.0,0.01,87.0,59.5,53.5
2026-08-19,3,Farm: outdoor,0.0,0.0,0.01,87.0,59.5,53.5
2026-08-20,0,East landscaping,0.0,0.0,0.0,84.4,61.8,61.2
2026-08-20,1,West landscaping,0.0,0.0,0.0,84.4,61.8,61.2
2026-08-20,2,Farm: greenhouse,0.0,0.0,0.0,84.4,61.8,61.2
2026-08-20,3,Farm: outdoor,0.0,0.0,0.0,84.4,61.8,61.2
2026-08-21,0,East landscaping,0.0,0.0,0.0,87.3,58.9,50.2
2026-08-21,1,West landscaping,0.0,0.0,0.0,87.3,58.9,50.2
2026-08-21,2,Farm: greenhouse,0.0,0.0,0.0,87.3,58.9,50.2
2026-08-21,3,Farm: outdoor,0.0,0.0,0.0,87.3,58.9,50.2
2026-08-22,0,East landscaping,0.0,0.0,0.0,87.9,58.0,48.3
2026-08-22,1,West landscaping,0.0,0.0,0.0,87.9,58.0,48.3
2026-08-22,2,Farm: greenhouse,0.0,0.0,0.0,87.9,58.0,48.3
2026-08-22,3,Farm: outdoor,0.0,0.0,0.0,87.9,58.0,48.3
2026-08-23,0,East landscaping,0.0,0.0,0.3,84.7,55.4,60.8
2026-08-23,1,West landscaping,0.0,0.0,0.3,84.7,55.4,60.8
2026-08-23,2,Farm: greenhouse,0.0,0.0,0.3,84.7,55.4,60.8
2026-08-23,3,Farm: outdoor,0.0,0.0,0.3,84.7,55.4,60.8
