Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-06-15,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,81.4,48.6,55.3
2026-06-15,3,Farm: outdoor,Apple,20.0,0.7,0.0,81.4,48.6,55.3
2026-06-15,3,Farm: outdoor,Beans,20.0,2.1,0.0,81.4,48.6,55.3
2026-06-15,3,Farm: outdoor,Corn,20.0,0.8,0.0,81.4,48.6,55.3
2026-06-15,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,81.4,48.6,55.3
2026-06-16,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,88.9,59.3,30.7
2026-06-16,3,Farm: outdoor,Apple,20.0,0.7,0.0,88.9,59.3,30.7
2026-06-16,3,Farm: outdoor,Beans,20.0,2.1,0.0,88.9,59.3,30.7
2026-06-16,3,Farm: outdoor,Corn,20.0,0.8,0.0,88.9,59.3,30.7
2026-06-16,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,88.9,59.3,30.7
2026-06-17,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,86.1,51.2,36.6
2026-06-17,3,Farm: outdoor,Apple,20.0,0.7,0.0,86.1,51.2,36.6
2026-06-17,3,Farm: outdoor,Beans,20.0,2.1,0.0,86.1,51.2,36.6
2026-06-17,3,Farm: outdoor,Corn,20.0,0.8,0.0,86.1,51.2,36.6
2026-06-17,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,86.1,51.2,36.6
2026-06-18,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,85.4,58.4,37.9
2026-06-18,3,Farm: outdoor,Apple,20.0,0.7,0.0,85.4,58.4,37.9
2026-06-18,3,Farm: outdoor,Beans,20.0,2.1,0.0,85.4,58.4,37.9
2026-06-18,3,Farm: outdoor,Corn,20.0,0.8,0.0,85.4,58.4,37.9
2026-06-18,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,85.4,58.4,37.9
2026-06-19,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,81.3,54.4,27.3
2026-06-19,3,Farm: outdoor,Apple,20.0,0.7,0.0,81.3,54.4,27.3
2026-06-19,3,Farm: outdoor,Beans,20.0,2.1,0.0,81.3,54.4,27.3
2026-06-19,3,Farm: outdoor,Corn,20.0,0.8,0.0,81.3,54.4,27.3
2026-06-19,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,81.3,54.4,27.3
2026-06-20,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,84.2,50.2,21.7
2026-06-20,3,Farm: outdoor,Apple,20.0,0.7,0.0,84.2,50.2,21.7
2026-06-20,3,Farm: outdoor,Beans,20.0,2.1,0.0,84.2,50.2,21.7
2026-06-20,3,Farm: outdoor,Corn,20.0,0.8,0.0,84.2,50.2,21.7
2026-06-20,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,84.2,50.2,21.7
2026-06-21,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,86.3,43.0,19.0
2026-06-21,3,Farm: outdoor,Apple,20.0,0.7,0.0,86.3,43.0,19.0
2026-06-21,3,Farm: outdoor,Beans,20.0,2.1,0.0,86.3,43.0,19.0
2026-06-21,3,Farm: outdoor,Corn,20.0,0.8,0.0,86.3,43.0,19.0
2026-06-21,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,86.3,43.0,19.0
