Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-07-20,0,East landscaping,0.0,0.0,0.32,85.0,56.5,77.4
2026-07-20,1,West landscaping,0.0,0.0,0.32,85.0,56.5,77.4
2026-07-20,2,Farm: greenhouse,60.0,24.0,0.32,85.0,56.5,77.4
2026-07-20,3,Farm: outdoor,20.0,5.0,0.32,85.0,56.5,77.4
2026-07-21,0,East landscaping,0.0,0.0,0.52,81.5,56.9,79.6
2026-07-21,1,West landscaping,60.0,12.0,0.52,81.5,56.9,79.6
2026-07-21,2,Farm: greenhouse,60.0,24.0,0.52,81.5,56.9,79.6
2026-07-21,3,Farm: outdoor,20.0,5.0,0.52,81.5,56.9,79.6
2026-07-22,0,East landscaping,0.0,0.0,0.05,82.1,57.7,75.3
2026-07-22,1,West landscaping,0.0,0.0,0.05,82.1,57.7,75.3
2026-07-22,2,Farm: greenhouse,60.0,24.0,0.05,82.1,57.7,75.3
2026-07-22,3,Farm: outdoor,20.0,5.0,0.05,82.1,57.7,75.3
2026-07-23,0,East landscaping,0.0,0.0,0.0,89.9,56.3,65.7
2026-07-23,1,West landscaping,0.0,0.0,0.0,89.9,56.3,65.7
2026-07-23,2,Farm: greenhouse,60.0,24.0,0.0,89.9,56.3,65.7
2026-07-23,3,Farm: outdoor,20.0,5.0,0.0,89.9,56.3,65.7
