Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-07-27,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,86.3,56.3,57.9
2026-07-27,3,Farm: outdoor,Apple,40.0,1.3,0.0,86.3,56.3,57.9
2026-07-27,3,Farm: outdoor,Beans,40.0,4.3,0.0,86.3,56.3,57.9
2026-07-27,3,Farm: outdoor,Corn,40.0,1.5,0.0,86.3,56.3,57.9
2026-07-27,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,86.3,56.3,57.9
2026-07-28,3,Farm: outdoor,Nectarine,40.0,1.3,0.08,84.8,60.5,61.2
2026-07-28,3,Farm: outdoor,Apple,40.0,1.3,0.08,84.8,60.5,61.2
2026-07-28,3,Farm: outdoor,Beans,40.0,4.3,0.08,84.8,60.5,61.2
2026-07-28,3,Farm: outdoor,Corn,40.0,1.5,0.08,84.8,60.5,61.2
2026-07-28,3,Farm: outdoor,Pumpkin,40.0,1.5,0.08,84.8,60.5,61.2
2026-07-29,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,87.0,57.8,59.0
2026-07-29,3,Farm: outdoor,Apple,40.0,1.3,0.0,87.0,57.8,59.0
2026-07-29,3,Farm: outdoor,Beans,40.0,4.3,0.0,87.0,57.8,59.0
2026-07-29,3,Farm: outdoor,Corn,40.0,1.5,0.0,87.0,57.8,59.0
2026-07-29,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,87.0,57.8,59.0
2026-07-30,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,87.1,56.8,59.3
2026-07-30,3,Farm: outdoor,Apple,40.0,1.3,0.0,87.1,56.8,59.3
2026-07-30,3,Farm: outdoor,Beans,40.0,4.3,0.0,87.1,56.8,59.3
2026-07-30,3,Farm: outdoor,Corn,40.0,1.5,0.0,87.1,56.8,59.3
2026-07-30,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,87.1,56.8,59.3
2026-07-31,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,92.6,58.8,51.5
2026-07-31,3,Farm: outdoor,Apple,40.0,1.3,0.0,92.6,58.8,51.5
2026-07-31,3,Farm: outdoor,Beans,40.0,4.3,0.0,92.6,58.8,51.5
2026-07-31,3,Farm: outdoor,Corn,40.0,1.5,0.0,92.6,58.8,51.5
2026-07-31,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,92.6,58.8,51.5
2026-08-01,3,Farm: outdoor,Nectarine,40.0,1.3,0.04,93.6,59.9,42.0
2026-08-01,3,Farm: outdoor,Apple,40.0,1.3,0.04,93.6,59.9,42.0
2026-08-01,3,Farm: outdoor,Beans,40.0,4.3,0.04,93.6,59.9,42.0
2026-08-01,3,Farm: outdoor,Corn,40.0,1.5,0.04,93.6,59.9,42.0
2026-08-01,3,Farm: outdoor,Pumpkin,40.0,1.5,0.04,93.6,59.9,42.0
2026-08-02,3,Farm: outdoor,Nectarine,30.0,1.0,0.0,91.5,62.1,34.9
2026-08-02,3,Farm: outdoor,Apple,30.0,1.0,0.0,91.5,62.1,34.9
2026-08-02,3,Farm: outdoor,Beans,30.0,3.2,0.0,91.5,62.1,34.9
2026-08-02,3,Farm: outdoor,Corn,30.0,1.2,0.0,91.5,62.1,34.9
2026-08-02,3,Farm: outdoor,Pumpkin,30.0,1.2,0.0,91.5,62.1,34.9
