Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-05-25,3,Farm: outdoor,Nectarine,10.0,0.3,0.07,69.7,46.5,57.7
2026-05-25,3,Farm: outdoor,Apple,10.0,0.3,0.07,69.7,46.5,57.7
2026-05-25,3,Farm: outdoor,Beans,10.0,1.1,0.07,69.7,46.5,57.7
2026-05-25,3,Farm: outdoor,Corn,10.0,0.4,0.07,69.7,46.5,57.7
2026-05-25,3,Farm: outdoor,Pumpkin,10.0,0.4,0.07,69.7,46.5,57.7
2026-05-26,3,Farm: outdoor,Nectarine,10.0,0.3,0.0,68.6,42.7,50.0
2026-05-26,3,Farm: outdoor,Apple,10.0,0.3,0.0,68.6,42.7,50.0
2026-05-26,3,Farm: outdoor,Beans,10.0,1.1,0.0,68.6,42.7,50.0
2026-05-26,3,Farm: outdoor,Corn,10.0,0.4,0.0,68.6,42.7,50.0
2026-05-26,3,Farm: outdoor,Pumpkin,10.0,0.4,0.0,68.6,42.7,50.0
2026-05-27,3,Farm: outdoor,Nectarine,10.0,0.3,0.0,67.9,39.7,36.4
2026-05-27,3,Farm: outdoor,Apple,10.0,0.3,0.0,67.9,39.7,36.4
2026-05-27,3,Farm: outdoor,Beans,10.0,1.1,0.0,67.9,39.7,36.4
2026-05-27,3,Farm: outdoor,Corn,10.0,0.4,0.0,67.9,39.7,36.4
2026-05-27,3,Farm: outdoor,Pumpkin,10.0,0.4,0.0,67.9,39.7,36.4
2026-05-28,3,Farm: outdoor,Nectarine,10.0,0.3,0.0,69.8,38.1,39.6
2026-05-28,3,Farm: outdoor,Apple,10.0,0.3,0.0,69.8,38.1,39.6
2026-05-28,3,Farm: outdoor,Beans,10.0,1.1,0.0,69.8,38.1,39.6
2026-05-28,3,Farm: outdoor,Corn,10.0,0.4,0.0,69.8,38.1,39.6
2026-05-28,3,Farm: outdoor,Pumpkin,10.0,0.4,0.0,69.8,38.1,39.6
2026-05-29,3,Farm: outdoor,Nectarine,10.0,0.3,0.0,61.4,39.0,45.5
2026-05-29,3,Farm: outdoor,Apple,10.0,0.3,0.0,61.4,39.0,45.5
2026-05-29,3,Farm: outdoor,Beans,10.0,1.1,0.0,61.4,39.0,45.5
2026-05-29,3,Farm: outdoor,Corn,10.0,0.4,0.0,61.4,39.0,45.5
2026-05-29,3,Farm: outdoor,Pumpkin,10.0,0.4,0.0,61.4,39.0,45.5
2026-05-30,3,Farm: outdoor,Nectarine,10.0,0.3,0.0,72.9,32.5,39.3
2026-05-30,3,Farm: outdoor,Apple,10.0,0.3,0.0,72.9,32.5,39.3
2026-05-30,3,Farm: outdoor,Beans,10.0,1.1,0.0,72.9,32.5,39.3
2026-05-30,3,Farm: outdoor,Corn,10.0,0.4,0.0,72.9,32.5,39.3
2026-05-30,3,Farm: outdoor,Pumpkin,10.0,0.4,0.0,72.9,32.5,39.3
2026-05-31,3,Farm: outdoor,Nectarine,20.3,0.7,0.0,79.3,38.1,32.8
2026-05-31,3,Farm: outdoor,Apple,20.3,0.7,0.0,79.3,38.1,32.8
2026-05-31,3,Farm: outdoor,Beans,20.3,2.2,0.0,79.3,38.1,32.8
2026-05-31,3,Farm: outdoor,Corn,20.3,0.8,0.0,79.3,38.1,32.8
2026-05-31,3,Farm: outdoor,Pumpkin,20.3,0.8,0.0,79.3,38.1,32.8
