Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-09-21,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,75.2,47.1,50.5
2026-09-21,3,Farm: outdoor,Apple,40.0,1.3,0.0,75.2,47.1,50.5
2026-09-21,3,Farm: outdoor,Pear,40.0,5.3,0.0,75.2,47.1,50.5
2026-09-21,3,Farm: outdoor,Beans,40.0,4.3,0.0,75.2,47.1,50.5
2026-09-21,3,Farm: outdoor,Corn,40.0,1.5,0.0,75.2,47.1,50.5
2026-09-21,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,75.2,47.1,50.5
2026-09-22,3,Farm: outdoor,Nectarine,40.0,1.3,0.0,74.0,47.1,53.8
2026-09-22,3,Farm: outdoor,Apple,40.0,1.3,0.0,74.0,47.1,53.8
2026-09-22,3,Farm: outdoor,Pear,40.0,5.3,0.0,74.0,47.1,53.8
2026-09-22,3,Farm: outdoor,Beans,40.0,4.3,0.0,74.0,47.1,53.8
2026-09-22,3,Farm: outdoor,Corn,40.0,1.5,0.0,74.0,47.1,53.8
2026-09-22,3,Farm: outdoor,Pumpkin,40.0,1.5,0.0,74.0,47.1,53.8
