Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-06-22,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,86.9,46.2,19.6
2026-06-22,3,Farm: outdoor,Apple,20.0,0.7,0.0,86.9,46.2,19.6
2026-06-22,3,Farm: outdoor,Beans,20.0,2.1,0.0,86.9,46.2,19.6
2026-06-22,3,Farm: outdoor,Corn,20.0,0.8,0.0,86.9,46.2,19.6
2026-06-22,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,86.9,46.2,19.6
2026-06-23,3,Farm: outdoor,Nectarine,20.0,0.7,0.02,89.8,51.9,30.1
2026-06-23,3,Farm: outdoor,Apple,20.0,0.7,0.02,89.8,51.9,30.1
2026-06-23,3,Farm: outdoor,Beans,20.0,2.1,0.02,89.8,51.9,30.1
2026-06-23,3,Farm: outdoor,Corn,20.0,0.8,0.02,89.8,51.9,30.1
2026-06-23,3,Farm: outdoor,Pumpkin,20.0,0.8,0.02,89.8,51.9,30.1
2026-06-24,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,83.4,57.9,41.2
2026-06-24,3,Farm: outdoor,Apple,20.0,0.7,0.0,83.4,57.9,41.2
2026-06-24,3,Farm: outdoor,Beans,20.0,2.1,0.0,83.4,57.9,41.2
2026-06-24,3,Farm: outdoor,Corn,20.0,0.8,0.0,83.4,57.9,41.2
2026-06-24,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,83.4,57.9,41.2
2026-06-25,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,83.9,55.9,48.6
2026-06-25,3,Farm: outdoor,Apple,20.0,0.7,0.0,83.9,55.9,48.6
2026-06-25,3,Farm: outdoor,Beans,20.0,2.1,0.0,83.9,55.9,48.6
2026-06-25,3,Farm: outdoor,Corn,20.0,0.8,0.0,83.9,55.9,48.6
2026-06-25,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,83.9,55.9,48.6
2026-06-26,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,81.2,51.6,37.3
2026-06-26,3,Farm: outdoor,Apple,20.0,0.7,0.0,81.2,51.6,37.3
2026-06-26,3,Farm: outdoor,Beans,20.0,2.1,0.0,81.2,51.6,37.3
2026-06-26,3,Farm: outdoor,Corn,20.0,0.8,0.0,81.2,51.6,37.3
2026-06-26,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,81.2,51.6,37.3
2026-06-27,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,79.7,51.6,23.9
2026-06-27,3,Farm: outdoor,Apple,20.0,0.7,0.0,79.7,51.6,23.9
2026-06-27,3,Farm: outdoor,Beans,20.0,2.1,0.0,79.7,51.6,23.9
2026-06-27,3,Farm: outdoor,Corn,20.0,0.8,0.0,79.7,51.6,23.9
2026-06-27,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,79.7,51.6,23.9
2026-06-28,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,74.6,52.0,26.9
2026-06-28,3,Farm: outdoor,Apple,20.0,0.7,0.0,74.6,52.0,26.9
2026-06-28,3,Farm: outdoor,Beans,20.0,2.1,0.0,74.6,52.0,26.9
2026-06-28,3,Farm: outdoor,Corn,20.0,0.8,0.0,74.6,52.0,26.9
2026-06-28,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,74.6,52.0,26.9
