Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-06-29,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,75.5,44.2,26.8
2026-06-29,3,Farm: outdoor,Apple,20.0,0.7,0.0,75.5,44.2,26.8
2026-06-29,3,Farm: outdoor,Beans,20.0,2.1,0.0,75.5,44.2,26.8
2026-06-29,3,Farm: outdoor,Corn,20.0,0.8,0.0,75.5,44.2,26.8
2026-06-29,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,75.5,44.2,26.8
2026-06-30,3,Farm: outdoor,Nectarine,20.0,0.7,0.01,75.3,42.6,28.7
2026-06-30,3,Farm: outdoor,Apple,20.0,0.7,0.01,75.3,42.6,28.7
2026-06-30,3,Farm: outdoor,Beans,20.0,2.1,0.01,75.3,42.6,28.7
2026-06-30,3,Farm: outdoor,Corn,20.0,0.8,0.01,75.3,42.6,28.7
2026-06-30,3,Farm: outdoor,Pumpkin,20.0,0.8,0.01,75.3,42.6,28.7
2026-07-01,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,75.7,39.2,26.1
2026-07-01,3,Farm: outdoor,Apple,20.0,0.7,0.0,75.7,39.2,26.1
2026-07-01,3,Farm: outdoor,Beans,20.0,2.1,0.0,75.7,39.2,26.1
2026-07-01,3,Farm: outdoor,Corn,20.0,0.8,0.0,75.7,39.2,26.1
2026-07-01,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,75.7,39.2,26.1
2026-07-02,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,79.8,43.0,22.4
2026-07-02,3,Farm: outdoor,Apple,20.0,0.7,0.0,79.8,43.0,22.4
2026-07-02,3,Farm: outdoor,Beans,20.0,2.1,0.0,79.8,43.0,22.4
2026-07-02,3,Farm: outdoor,Corn,20.0,0.8,0.0,79.8,43.0,22.4
2026-07-02,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,79.8,43.0,22.4
2026-07-03,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,84.8,45.8,21.9
2026-07-03,3,Farm: outdoor,Apple,20.0,0.7,0.0,84.8,45.8,21.9
2026-07-03,3,Farm: outdoor,Beans,20.0,2.1,0.0,84.8,45.8,21.9
2026-07-03,3,Farm: outdoor,Corn,20.0,0.8,0.0,84.8,45.8,21.9
2026-07-03,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,84.8,45.8,21.9
2026-07-04,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,88.6,49.2,21.8
2026-07-04,3,Farm: outdoor,Apple,20.0,0.7,0.0,88.6,49.2,21.8
2026-07-04,3,Farm: outdoor,Beans,20.0,2.1,0.0,88.6,49.2,21.8
2026-07-04,3,Farm: outdoor,Corn,20.0,0.8,0.0,88.6,49.2,21.8
2026-07-04,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,88.6,49.2,21.8
2026-07-05,3,Farm: outdoor,Nectarine,20.0,0.7,0.0,87.2,59.6,27.1
2026-07-05,3,Farm: outdoor,Apple,20.0,0.7,0.0,87.2,59.6,27.1
2026-07-05,3,Farm: outdoor,Beans,20.0,2.1,0.0,87.2,59.6,27.1
2026-07-05,3,Farm: outdoor,Corn,20.0,0.8,0.0,87.2,59.6,27.1
2026-07-05,3,Farm: outdoor,Pumpkin,20.0,0.8,0.0,87.2,59.6,27.1
