Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-09-14,0,East landscaping,0.0,0.0,0.0,80.7,57.6,64.6
2026-09-14,1,West landscaping,0.0,0.0,0.0,80.7,57.6,64.6
2026-09-14,2,Farm: greenhouse,40.0,16.0,0.0,80.7,57.6,64.6
2026-09-14,3,Farm: outdoor,40.0,15.3,0.0,80.7,57.6,64.6
2026-09-15,0,East landscaping,30.0,15.0,0.0,77.3,56.0,67.8
2026-09-15,1,West landscaping,30.0,6.0,0.0,77.3,56.0,67.8
2026-09-15,2,Farm: greenhouse,40.0,16.0,0.0,77.3,56.0,67.8
2026-09-15,3,Farm: outdoor,40.0,15.3,0.0,77.3,56.0,67.8
2026-09-16,0,East landscaping,0.0,0.0,0.34,70.2,53.4,87.4
2026-09-16,1,West landscaping,0.0,0.0,0.34,70.2,53.4,87.4
2026-09-16,2,Farm: greenhouse,40.0,16.0,0.34,70.2,53.4,87.4
2026-09-16,3,Farm: outdoor,40.0,15.3,0.34,70.2,53.4,87.4
2026-09-17,0,East landscaping,0.0,0.0,0.0,87.1,51.5,78.3
2026-09-17,1,West landscaping,0.0,0.0,0.0,87.1,51.5,78.3
2026-09-17,2,Farm: greenhouse,40.0,16.0,0.0,87.1,51.5,78.3
2026-09-17,3,Farm: outdoor,40.0,15.3,0.0,87.1,51.5,78.3
2026-09-18,0,East landscaping,0.0,0.0,0.0,75.9,47.8,64.0
2026-09-18,1,West landscaping,0.0,0.0,0.0,75.9,47.8,64.0
2026-09-18,2,Farm: greenhouse,0.0,0.0,0.0,75.9,47.8,64.0
2026-09-18,3,Farm: outdoor,0.0,0.0,0.0,75.9,47.8,64.0
2026-09-19,0,East landscaping,0.0,0.0,0.0,76.9,45.5,51.2
2026-09-19,1,West landscaping,0.0,0.0,0.0,76.9,45.5,51.2
2026-09-19,2,Farm: greenhouse,0.0,0.0,0.0,76.9,45.5,51.2
2026-09-19,3,Farm: outdoor,0.0,0.0,0.0,76.9,45.5,51.2
