Date,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-07-20,3,Farm: outdoor,Nectarine,20.0,0.7,0.32,85.0,56.5,77.4
2026-07-20,3,Farm: outdoor,Apple,20.0,0.7,0.32,85.0,56.5,77.4
2026-07-20,3,Farm: outdoor,Beans,20.0,2.1,0.32,85.0,56.5,77.4
2026-07-20,3,Farm: outdoor,Corn,20.0,0.8,0.32,85.0,56.5,77.4
2026-07-20,3,Farm: outdoor,Pumpkin,20.0,0.8,0.32,85.0,56.5,77.4
2026-07-21,3,Farm: outdoor,Nectarine,20.0,0.7,0.52,81.5,56.9,79.6
2026-07-21,3,Farm: outdoor,Apple,20.0,0.7,0.52,81.5,56.9,79.6
2026-07-21,3,Farm: outdoor,Beans,20.0,2.1,0.52,81.5,56.9,79.6
2026-07-21,3,Farm: outdoor,Corn,20.0,0.8,0.52,81.5,56.9,79.6
2026-07-21,3,Farm: outdoor,Pumpkin,20.0,0.8,0.52,81.5,56.9,79.6
