Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-06-29,0,East landscaping,0.0,0.0,0.0,75.5,44.2,26.8
2026-06-29,1,West landscaping,0.0,0.0,0.0,75.5,44.2,26.8
2026-06-29,2,Farm: greenhouse,60.0,24.0,0.0,75.5,44.2,26.8
2026-06-29,3,Farm: outdoor,20.0,5.0,0.0,75.5,44.2,26.8
2026-06-30,0,East landscaping,0.0,0.0,0.01,75.3,42.6,28.7
2026-06-30,1,West landscaping,60.0,12.0,0.01,75.3,42.6,28.7
2026-06-30,2,Farm: greenhouse,60.0,24.0,0.01,75.3,42.6,28.7
2026-06-30,3,Farm: outdoor,20.0,5.0,0.01,75.3,42.6,28.7
2026-07-01,0,East landscaping,0.0,0.0,0.0,75.7,39.2,26.1
2026-07-01,1,West landscaping,0.0,0.0,0.0,75.7,39.2,26.1
2026-07-01,2,Farm: greenhouse,60.0,24.0,0.0,75.7,39.2,26.1
2026-07-01,3,Farm: outdoor,20.0,5.0,0.0,75.7,39.2,26.1
2026-07-02,0,East landscaping,0.0,0.0,0.0,79.8,43.0,22.4
2026-07-02,1,West landscaping,60.0,12.0,0.0,79.8,43.0,22.4
2026-07-02,2,Farm: greenhouse,60.0,24.0,0.0,79.8,43.0,22.4
2026-07-02,3,Farm: outdoor,20.0,5.0,0.0,79.8,43.0,22.4
2026-07-03,0,East landscaping,0.0,0.0,0.0,84.8,45.8,21.9
2026-07-03,1,West landscaping,0.0,0.0,0.0,84.8,45.8,21.9
2026-07-03,2,Farm: greenhouse,60.0,24.0,0.0,84.8,45.8,21.9
2026-07-03,3,Farm: outdoor,20.0,5.0,0.0,84.8,45.8,21.9
2026-07-04,0,East landscaping,0.0,0.0,0.0,88.6,49.2,21.8
2026-07-04,1,West landscaping,0.0,0.0,0.0,88.6,49.2,21.8
2026-07-04,2,Farm: greenhouse,60.0,24.0,0.0,88.6,49.2,21.8
2026-07-04,3,Farm: outdoor,20.0,5.0,0.0,88.6,49.2,21.8
2026-07-05,0,East landscaping,0.0,0.0,0.0,87.2,59.6,27.1
2026-07-05,1,West landscaping,0.0,0.0,0.0,87.2,59.6,27.1
2026-07-05,2,Farm: greenhouse,0.0,0.0,0.0,87.2,59.6,27.1
2026-07-05,3,Farm: outdoor,0.0,0.0,0.0,87.2,59.6,27.1
