Date,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-06-15,0,East landscaping,0.0,0.0,0.0,81.4,48.6,55.3
2026-06-15,1,West landscaping,0.0,0.0,0.0,81.4,48.6,55.3
2026-06-15,2,Farm: greenhouse,60.0,24.0,0.0,81.4,48.6,55.3
2026-06-15,3,Farm: outdoor,20.0,5.0,0.0,81.4,48.6,55.3
2026-06-16,0,East landscaping,0.0,0.0,0.0,88.9,59.3,30.7
2026-06-16,1,West landscaping,0.0,0.0,0.0,88.9,59.3,30.7
2026-06-16,2,Farm: greenhouse,60.0,24.0,0.0,88.9,59.3,30.7
2026-06-16,3,Farm: outdoor,20.0,5.0,0.0,88.9,59.3,30.7
